id,title,date_posted,city,province,min_salary,max_salary,salary_period
article-48007050,software developer,2026-01-09,Calgary,AB,80000.0,120000.0,annually
article-47873516,software developer,2026-01-05,Toronto,ON,28.75,69.71,hourly
article-48003639,software developer,2026-01-09,Burnaby,BC,50.8,50.8,hourly
article-47700309,"developer, software",2025-10-21,North York,ON,87000.0,87000.0,annually
article-48036235,software developer,2026-01-08,Vancouver,BC,81160.0,101450.0,annually
article-48117593,software developer,2026-01-08,Vancouver,BC,81160.0,101450.0,annually
article-47971502,software developer,2026-01-05,Calgary,AB,55.17,69.0,hourly
article-48125447,senior software developer,2026-01-13,Toronto,ON,28.75,69.71,hourly
article-48159143,software developer,2026-01-14,Toronto,ON,28.75,69.71,hourly
article-48138460,software developer,2026-01-13,Oshawa,ON,48.2,48.2,hourly
article-47971462,software developer,2025-12-23,Toronto,ON,110000.0,130000.0,annually
article-48117534,software developer,2025-12-23,Toronto,ON,110000.0,130000.0,annually
article-48005514,software developer,2026-01-09,Calgary,AB,48.5,48.5,hourly
article-48003021,senior software developer,2026-01-09,Vancouver,BC,28.75,69.71,hourly
article-47923173,software developer,2026-01-07,Toronto,ON,28.75,69.71,hourly
article-48129484,software developer,2025-12-08,Miller Lake,ON,50.0,50.0,hourly
article-47974831,software developer,2026-01-08,Vancouver,BC,60000.0,65000.0,annually
article-47824391,senior software developer,2026-01-04,Toronto,ON,28.75,69.71,hourly
article-47739597,software developer,2025-12-29,Calgary,AB,60000.0,80000.0,annually
article-47986447,software development manager,2026-01-09,Toronto,ON,42.41,96.63,hourly
article-47703410,software developer,2025-12-29,Etobicoke,ON,48.07,48.07,hourly
article-47778131,data scientist,2026-01-02,Toronto,ON,124500.0,160800.0,annually
article-48036144,software developer,2026-01-09,Toronto,ON,75000.0,75000.0,annually
article-48036170,software developer,2026-01-09,Toronto,ON,90000.0,90000.0,annually
article-48117336,software developer,2026-01-09,Toronto,ON,75000.0,75000.0,annually
article-47684637,software developer,2025-12-28,Toronto,ON,28.75,69.71,hourly
article-47796039,software developer,2026-01-03,Toronto,ON,28.75,69.71,hourly
article-47413731,software developer,2025-12-19,Toronto,ON,28.75,69.71,hourly
article-48148647,software developer,2026-01-13,Toronto,ON,140000.0,165000.0,annually
article-48148809,software developer,2026-01-13,Vancouver,BC,140000.0,165000.0,annually
article-48148821,software developer,2026-01-13,Montréal,QC,140000.0,165000.0,annually
article-48148829,software developer,2026-01-13,Calgary,AB,140000.0,165000.0,annually
article-47600857,data mining analyst,2025-12-26,Toronto,ON,29.74,64.9,hourly
article-48117331,software developer,2026-01-09,Toronto,ON,90000.0,90000.0,annually
article-47776206,data mining analyst,2026-01-01,Toronto,ON,29.74,64.9,hourly
article-47986776,data scientist,2026-01-09,Toronto,ON,29.74,64.9,hourly
article-47972378,software developer,2026-01-05,Montréal,QC,70.0,100.0,hourly
article-48117835,software developer,2026-01-05,Montréal,QC,70.0,100.0,hourly
article-47954988,senior software developer,2026-01-08,Toronto,ON,28.75,69.71,hourly
article-47413869,software developer,2025-12-20,Toronto,ON,28.75,69.71,hourly
article-47922500,software developer,2026-01-07,Toronto,ON,28.75,69.71,hourly
article-47971749,software developer,2026-01-07,Toronto,ON,160000.0,160000.0,annually
article-47971710,software developer,2026-01-07,Vancouver,BC,160000.0,160000.0,annually
article-47971975,software developer,2026-01-08,Toronto,ON,80000.0,80000.0,annually
article-47971746,software developer,2025-12-20,Toronto,ON,90000.0,105000.0,annually
article-48116891,software developer,2025-12-20,Toronto,ON,90000.0,105000.0,annually
article-47413691,senior software developer,2025-12-20,Toronto,ON,28.75,69.71,hourly
article-47415792,data scientist,2025-12-20,Toronto,ON,29.74,64.9,hourly
article-47415351,data scientist,2025-12-20,Toronto,ON,29.74,64.9,hourly
article-48019739,senior software developer,2026-01-10,Toronto,ON,28.75,69.71,hourly
article-48018380,senior software developer,2026-01-09,Toronto,ON,28.75,69.71,hourly
article-47922224,senior software developer,2026-01-07,Toronto,ON,28.75,69.71,hourly
article-48116571,software developer,2026-01-11,Toronto,ON,10000.0,10000.0,N/A
